id	filename	md5	size	state
d6c77415-a3c1-4627-a0ab-dacdac3db507	c0405ebb-1311-40b2-a5c4-522d2cc62988.mirbase21.mirnas.quantification.txt	b18095d9a1e1fe4ffac71a17935298b3	50071	released
cd1576c6-1a9f-47de-b51d-9b1754d0ab3e	c3541530-dfa9-4f30-bbcc-6929e387d4ba.mirbase21.mirnas.quantification.txt	33d24fe73cc9d671b9efb29b955480d1	50261	released
a257fbd4-8d85-459a-984c-83040a164db6	70f44ce1-c5c2-42e3-aced-466aa7c181ad.mirbase21.mirnas.quantification.txt	bf75cdcdfa554467177495a239441e51	50084	released
05960e82-e648-4b99-a116-9cf917d1bff7	d042b37f-1ba7-41e8-af11-9232df313018.mirbase21.mirnas.quantification.txt	215dbd251249e2789eca7a87b2611b40	50203	released
837b909d-cc79-4fb7-b10b-b809509a30dc	0c7574f5-083f-44d9-9d12-b624c6bcf904.mirbase21.isoforms.quantification.txt	339582a69d8410d58a2a2e764637c28c	311184	released
3efa1571-cad2-4796-a459-144c38b87d9c	0c7574f5-083f-44d9-9d12-b624c6bcf904.mirbase21.mirnas.quantification.txt	1c93bb2f592a6b26cf74d8c7c2b58788	50079	released
7d00b97e-c2e5-493a-8952-a039e2635b2d	5fc1aeb2-06da-4619-8b26-8e0e0333f653.mirbase21.mirnas.quantification.txt	e7d1fbaeb28c76ec72d32b68fefc1a5b	50219	released
072fae9f-12d7-4a6f-bc6d-ffecf0262c16	004b1938-87ab-4bf2-a19b-d2953d0e81a0.mirbase21.isoforms.quantification.txt	0161614df7e1edce8588e4be6b921c6d	264589	released
60d230cb-aafd-449a-9e37-3da98b962c15	29cb59d1-59ba-4fc8-8783-0a3cea827132.mirbase21.isoforms.quantification.txt	6c30092784ca2d01d50cdb6329a3bee0	336412	released
f8c66feb-90c4-4d0e-ba2f-481bbfe8f781	87d84d73-132c-44dc-9aa0-155665590242.mirbase21.isoforms.quantification.txt	836e72e55dccb8eb946b09385a812050	274022	released
7e17b2bf-91b2-4ea2-acc1-59e1537913ce	8e317da5-4672-4ce6-9890-8f74e85f0d24.mirbase21.isoforms.quantification.txt	3e85c20b849738b6b56cd9caca7167cd	410468	released
6a92414a-2217-4222-a5e9-2a44fea81033	bce8e1de-d465-448e-b7ad-88f3c383d94f.mirbase21.isoforms.quantification.txt	4e3a9d3155b44738f28fee3d729e7786	347910	released
c9c262d1-a48f-49d8-a7d3-fcea1fd83691	7d556832-d37f-4bab-9309-917335f71561.mirbase21.mirnas.quantification.txt	9fe8d2fce01eb557f04ce3ebc5ed90ae	50180	released
266e75ac-e8dd-47a9-919b-c00ff900cb1f	7d556832-d37f-4bab-9309-917335f71561.mirbase21.isoforms.quantification.txt	66839466369941d48f730ec999adf776	311754	released
cf5ab327-47ee-40eb-a06c-3a8fef2a1ebb	70873148-857e-4350-b2bc-80c27c48bcc5.mirbase21.isoforms.quantification.txt	0d66e39bea6d47ffcfb2e7ed8bb8285f	267572	released
50c0b143-29b8-4060-a63e-d263ae52b029	b24011b0-a62f-4c6e-b4e7-273289c796cf.mirbase21.isoforms.quantification.txt	f8458cf20c8d4efa89803f4a8434f826	223894	released
63970639-a366-42e8-aa18-d072a9fc1770	d5e87214-6346-499a-91dd-1a6cd700e689.mirbase21.mirnas.quantification.txt	4c3f69095facae63a6ab925c68561540	50033	released
374ee7e4-2ea0-479f-aca6-f9f6433ce732	5b935cc4-bb46-40f9-82ce-fa3ffe15d8e3.mirbase21.isoforms.quantification.txt	5b6ed3ff9c2472d326dfc2bbd561d513	328230	released
41b4e80c-df8e-4825-8f9a-e9d3f5153d1d	3346e3c2-0458-4879-9522-d8c427b02b8c.mirbase21.isoforms.quantification.txt	7e7456540ca6c81bfef66ed831086aec	539052	released
ffc1e2ea-a8ff-461f-8ed6-ed2ed6d547a1	6b64eac9-2d6e-471f-b7b2-532249cbec21.mirbase21.mirnas.quantification.txt	0cc4c93d61751004ff85a542a5dd2a0e	50139	released
d8f4fee7-bb7b-48d1-8d15-7ee33cc5f339	6380cd41-2628-484f-acd3-2240d9903fba.mirbase21.isoforms.quantification.txt	90dce1d40ca6fc70649a3d34d184c474	378477	released
50db711e-b2eb-4b33-ae9f-48ce6d860a48	66570de6-ebd0-4c9f-876f-f72bd942040c.mirbase21.mirnas.quantification.txt	16a404a313c4f75aebdf0cea5300a8eb	50177	released
a607c74a-4ed5-4e2b-bf5b-3cc9e3214335	6380cd41-2628-484f-acd3-2240d9903fba.mirbase21.mirnas.quantification.txt	beccfde8a0448bc7e53c90859146b094	50216	released
abf531dc-e45a-471c-841f-7353c8fa8e8d	4976f331-0ebe-4548-804a-bd34dc47ce00.mirbase21.mirnas.quantification.txt	b1b245855ab8f14b79e99d83b469f1f5	50327	released
d507dac5-5517-4f37-a9e9-fafda456ddd0	dbcc2bf5-c720-4f75-8850-f3aca2865225.mirbase21.isoforms.quantification.txt	c8c21f69d32ce647cd8184f7e444f54c	228732	released
0fe319f2-7a4f-4732-a488-f96c9db8a0dd	b713d673-b8a4-443c-b569-55a3c343b0f3.mirbase21.mirnas.quantification.txt	e264fe64d952b50be8d7e879072ddd46	50017	released
a31942b6-0477-483f-8852-28d4b638ef65	7e953a6c-0941-488f-af2d-ffc19f0eb62c.mirbase21.mirnas.quantification.txt	1e59f8a136ca19898267f2268f529c53	50233	released
be8e6554-07ae-4ec2-8be0-8598556467c9	4f3dbf34-7147-4ae2-a874-f6755480a72a.mirbase21.isoforms.quantification.txt	2dd1a4946556a27cdbb023a8d79d49fc	392715	released
bc30ca6a-982b-4ba1-85a2-2e4adeba535a	4f3dbf34-7147-4ae2-a874-f6755480a72a.mirbase21.mirnas.quantification.txt	9c0a5525664525b2751ed5639d0bc0b0	50208	released
c4b1b889-0340-42f9-aea3-b7797232bb55	d88c989c-d8f6-427c-96b4-a5ebbe0bcbe5.mirbase21.isoforms.quantification.txt	13581b3ddb25711e6eb5ae2a3c3388b2	408148	released
0b64742b-b99d-4fc1-bfbf-bb7074f21a67	9293a93f-b3d1-41ab-8c18-3deed4cc776d.mirbase21.mirnas.quantification.txt	f86b879e6d0754f4730f005129ff565e	50029	released
33cba3fa-57ce-4e2a-89d8-767f1f74b644	e2d9e24b-17c5-4c7a-8bff-209a4c74d35a.mirbase21.isoforms.quantification.txt	d19548442504223043e7b618a23bfc6d	306880	released
12c76136-cc83-42c0-886b-4b4ea167a0d7	70f44ce1-c5c2-42e3-aced-466aa7c181ad.mirbase21.isoforms.quantification.txt	cb1e78fa6a81015687c299441f1b293d	292735	released
bc87b622-2e91-4383-b8c6-7f98782f2dc3	907df606-c7be-483b-93b9-39fb4945d9c3.mirbase21.isoforms.quantification.txt	52dcd23c1c4e5c1e329cfe5e10edb08a	304193	released
65775f26-9935-472f-8187-8c488c4b1cee	907df606-c7be-483b-93b9-39fb4945d9c3.mirbase21.mirnas.quantification.txt	2e36ca84e359f96238724338334f5038	50162	released
f5a7db34-479b-4593-9ba9-fd22a726eacd	108f8346-c8d8-4183-bed5-f1ea17b9c62c.mirbase21.mirnas.quantification.txt	44ef6ef35ce6d90e84b2933151deb76a	50233	released
8b2a6497-fe35-4377-b3e4-ff8aa1544521	e26986e3-ca2b-4514-afe4-11f54ad8dc64.mirbase21.isoforms.quantification.txt	cf32b41a0c518538a8b0994a3c0ffac2	284198	released
1a564975-4fe2-4542-b75f-beaa2f148b9a	a5718c8b-0774-48c9-bec2-433de71bd7da.mirbase21.isoforms.quantification.txt	582346adb8254602495427e9472e72a5	430474	released
89524f56-87bb-4a23-b1c8-1eaa0e4a9c6f	4d2a183e-316b-43c3-b380-e1fcfe1577d1.mirbase21.isoforms.quantification.txt	b9aae891fb1971af32d6d091df0fe0c9	270373	released
133ae78e-fd83-4a13-9de6-28dbbe8e37c7	8e317da5-4672-4ce6-9890-8f74e85f0d24.mirbase21.mirnas.quantification.txt	dc7a069d0454852b0acb81ff6686f295	50302	released
bcb337bb-7fc9-4182-9385-b2fd1fcc50b6	e37c9ce4-f7bf-4632-98ad-767e9a22d073.mirbase21.mirnas.quantification.txt	5ce5808c302f069ba286985d6b5f434c	50235	released
386303b0-03dc-4202-8af9-fb7373909c84	121dd872-3ed8-4cc8-9db2-63aa2338b95a.mirbase21.mirnas.quantification.txt	7b00fccd6754dee0223377a4678fbe83	50309	released
1ef4181f-9d16-4e3e-a8aa-ac0849bb6ef8	fc8dd1ba-19d3-4b20-b8a8-a1bb421c55bd.mirbase21.mirnas.quantification.txt	e7590ad1888a7c24137c4c36e0913a20	50290	released
