id	filename	md5	size	state
aa3f0051-ea7f-47f2-a7aa-315c1bdc3f18	TCGA-BH-A0C1-01Z-00-DX1.21FE357E-B182-4397-BFEF-7E96E994236A.svs	8a43d85058bb6bc2fc00d485cf92e1c1	992971003	released
2449ff02-6925-4f25-9074-7c5fbeab0bd2	TCGA-AC-A23G-01Z-00-DX1.2F0326F7-6B77-4B3F-B4FA-59ADB785AA07.svs	69577c95f8b87e992df71f0bcf3d0635	41783236	released
8daf3c99-e481-4c05-bd7e-30bf7529b530	TCGA-AC-A2QI-01A-01-TSA.4BA73556-9C89-4F0F-AAD5-A5F7CADA4593.svs	585602e8d93025e99b378619ec5683fc	249632343	released
f5af2026-b2d5-4738-b623-5af9a219ee54	TCGA-BH-A18J-11A-02-TSB.82433f37-c0c6-4430-88e0-b05267aa4845.svs	fd88aa552ade533df4d41f88c9785cd0	133587473	released
f74586de-5273-4573-acda-643d9a422c12	TCGA-AR-A2LO-01A-03-TSC.62917FFC-65A4-46A2-AED6-1E9B368023E2.svs	a0c69e1a1646799d02b3704a0b7abc56	89213887	released
b6371944-5ebe-45bd-9b10-0f19856f3dc5	TCGA-AO-A126-01A-01-BSA.d9c05421-91fc-4fdd-988d-2b404fa24095.svs	94037c12a7defdab149a59f5bb9bb2c5	169375237	released
669a71dd-c9fd-41e2-a736-7d54574af04c	TCGA-AO-A0JA-01A-01-TSA.818b6240-5b8c-488c-9354-0faeb5491495.svs	461f49cc39306d7a8777a9ad286437dc	759729519	released
89bf548f-91a5-4756-a090-0b4a6fd22e3a	TCGA-D8-A27V-01Z-00-DX2.81E4FFDF-7123-4AC3-BE24-A82564A6C34C.svs	12ed2c695c007dc6e1e20d7645efa682	598113303	released
c58e722f-d56e-493a-94bc-8236f060b6a3	TCGA-AC-A3YJ-01Z-00-DX1.8E665F69-FD8C-419A-871F-3AEE2E5A3A60.svs	e50360a23ee5fc148b48f30c3b87a802	617924016	released
88bc30b5-030a-4a8a-b311-5ce114be52e3	TCGA-AN-A03X-01A-01-BS1.a0bc496b-dbc1-451c-a6fd-8ba2bdc1a9b4.svs	422b41f2f6256b00ddfa0ed220e1f365	115427861	released
7c7fca05-2df2-41c4-9f13-ec7b0967e4ff	TCGA-BH-A18M-11A-03-TSC.2c4bb6b4-b911-4ea2-a6ee-eb740cd0ae21.svs	e978c12bf1c19901fa516606aa2c894b	74098057	released
101c2a43-88d8-4cb8-b5bd-c8ec41e835b1	TCGA-EW-A1P6-01Z-00-DX1.A8024C26-6336-4858-88FD-5679795899BA.svs	4b41aab5d34bca55c7dd2ac2d30737d3	1714677405	released
128fc8fa-1d72-44bc-be02-50cfef81e93a	TCGA-AC-A5EH-01A-01-TS1.FE5A32A0-934D-4CD8-9925-78FE99FF13AB.svs	3eacf1e707b9090c3440a1f5a3790115	202348761	released
ea0ddd49-2f89-4044-a12e-c7e51b172a74	TCGA-A2-A0YF-01Z-00-DX1.6166E995-0669-43D6-B9C7-FE39BCE529CF.svs	8dcbfc943955f8de2a61d2567d4e9e56	1310284033	released
85eee34f-ef9d-4cf5-bcd3-131201566ac0	TCGA-E9-A5FK-01A-01-TSA.B94B10DB-28F9-434E-9BE2-F2B84C3ED73F.svs	381487785f6cf62de6e0ed29db4e8c15	236242811	released
b5565f07-c27f-40a9-823f-113622a78cb1	TCGA-AR-A0TP-01A-01-TSA.300fb1d5-301a-4a10-b9f6-615bac812e93.svs	c6caa6c335b92fb562ee1dce15e96d94	389351129	released
e4743080-e74f-4214-bb26-a5ff5a03b032	TCGA-C8-A26V-01Z-00-DX1.6E86DF74-D575-4969-8142-963D9DF5208F.svs	38965d5f44bb7a4d62f1d99daef6e4a9	829484135	released
889d0814-e238-4d17-a345-743d34b54771	TCGA-AR-A0TZ-01A-01-BSA.614177ad-6f45-47b3-abb8-6a682f307795.svs	e115a239c31edb9c5ca7cc0f187498fc	167849343	released
a1597254-02b9-49c7-867b-1c85d447c9dc	TCGA-A1-A0SE-01A-01-BS1.bc41fb6d-f6a5-495c-b429-80d289f0bda1.svs	acedb82b22eb947bf934fb0f0aa6f7d5	476357101	released
aef825ae-1b7a-4f6e-9c91-0875301eee06	TCGA-EW-A1OW-01Z-00-DX1.97888686-EBB6-4B13-AB5D-452F475E865B.svs	228f62aac31675f19252da9f11bd2ed8	1442343795	released
39e6f956-7213-4852-b0f0-83a1115b3fed	TCGA-A7-A0DB-01C-01-BS1.1FA12B49-B544-4200-BB65-13977DF527E7.svs	7508b34ef292bc620309f08ad8814614	86852567	released
27ea37fa-7a1b-4f43-99d5-8243a589ebd7	TCGA-A7-A56D-01A-01-TS1.AD278013-D26A-4CA2-9B22-308E79763904.svs	cdad5fe92632a54d00f9856edfe005bc	298570133	released
daedfd81-4a6f-4f99-a505-c9363c961f4e	TCGA-BH-A0EB-01Z-00-DX1.70D7BBA0-214D-4D1A-933C-7CFCDA5416A3.svs	edbe6da6a24cac250feb24d4b37d09af	1742274321	released
6bfc1c6c-1351-47d9-8045-5151ccc0cf15	TCGA-A1-A0SD-01A-01-TS1.6a18f1d4-bee3-453c-a84f-0f82f93e95f2.svs	1b5d67ece790ced3e9d406ce7144ea34	257674399	released
2e97fdd2-30b4-4c8a-a8b3-4ada0b39b3c7	TCGA-A8-A06R-01A-01-TS1.c1e2ceb6-b40d-4ab6-a891-f8a3642dbb8e.svs	b6538829917f70a13901628bc6abda67	406190269	released
